"WEEK_START","MAIN_BILLER_ID","YEAR","MONTH","WEEK_NUMBER","TOTAL_AMOUNT","TRANSACTION_COUNT","LAST_WEEK_TOTAL_AMOUNT","LAST_WEEK_TRANSACTION_COUNT","LAST_2WEEK_TOTAL_AMOUNT","LAST_2WEEK_TRANSACTION_COUNT","NEXT_WEEK_TOTAL_AMOUNT"
2022-12-27 00:00:00.000,13,2022,12,"52",948753.84,59307,,,,,8591742.37
2023-01-03 00:00:00.000,13,2023,1,"01",8591742.37,509008,948753.84,59307,,,9293707.53
2023-01-10 00:00:00.000,13,2023,1,"02",9293707.53,545412,8591742.37,509008,948753.84,59307,9308526.8
2023-01-17 00:00:00.000,13,2023,1,"03",9308526.8,554002,9293707.53,545412,8591742.37,509008,9706838.15
2023-01-24 00:00:00.000,13,2023,1,"04",9706838.15,560539,9308526.8,554002,9293707.53,545412,9678802.86
2023-01-31 00:00:00.000,13,2023,1,"05",9678802.86,561256,9706838.15,560539,9308526.8,554002,8906610.53
2023-02-07 00:00:00.000,13,2023,2,"06",8906610.53,528915,9678802.86,561256,9706838.15,560539,8812601.72
2023-02-14 00:00:00.000,13,2023,2,"07",8812601.72,527226,8906610.53,528915,9678802.86,561256,9252148.05
2023-02-21 00:00:00.000,13,2023,2,"08",9252148.05,544243,8812601.72,527226,8906610.53,528915,9394326.27
2023-02-28 00:00:00.000,13,2023,2,"09",9394326.27,543070,9252148.05,544243,8812601.72,527226,8843598.52
2023-03-07 00:00:00.000,13,2023,3,"10",8843598.52,529256,9394326.27,543070,9252148.05,544243,7397760.62
2023-03-14 00:00:00.000,13,2023,3,"11",7397760.62,441528,8843598.52,529256,9394326.27,543070,8281173.6
2023-03-21 00:00:00.000,13,2023,3,"12",8281173.6,487820,7397760.62,441528,8843598.52,529256,8815387.25
2023-03-28 00:00:00.000,13,2023,3,"13",8815387.25,491484,8281173.6,487820,7397760.62,441528,8694162.36
2023-04-04 00:00:00.000,13,2023,4,"14",8694162.36,464367,8815387.25,491484,8281173.6,487820,8611274.92
2023-04-11 00:00:00.000,13,2023,4,"15",8611274.92,442717,8694162.36,464367,8815387.25,491484,9257676.28
2023-04-18 00:00:00.000,13,2023,4,"16",9257676.28,488924,8611274.92,442717,8694162.36,464367,9159727.14
2023-04-25 00:00:00.000,13,2023,4,"17",9159727.14,462869,9257676.28,488924,8611274.92,442717,8903755.19
2023-05-02 00:00:00.000,13,2023,5,"18",8903755.19,466563,9159727.14,462869,9257676.28,488924,8892210.28
2023-05-09 00:00:00.000,13,2023,5,"19",8892210.28,469082,8903755.19,466563,9159727.14,462869,8653990.65
2023-05-16 00:00:00.000,13,2023,5,"20",8653990.65,465180,8892210.28,469082,8903755.19,466563,9400818.71
2023-05-23 00:00:00.000,13,2023,5,"21",9400818.71,492100,8653990.65,465180,8892210.28,469082,8609262.47
2023-05-30 00:00:00.000,13,2023,5,"22",8609262.47,434515,9400818.71,492100,8653990.65,465180,8747116.48
2023-06-06 00:00:00.000,13,2023,6,"23",8747116.48,460166,8609262.47,434515,9400818.71,492100,8628155.02
2023-06-13 00:00:00.000,13,2023,6,"24",8628155.02,451961,8747116.48,460166,8609262.47,434515,8951907.03
2023-06-20 00:00:00.000,13,2023,6,"25",8951907.03,462254,8628155.02,451961,8747116.48,460166,9999252.12
2023-06-27 00:00:00.000,13,2023,6,"26",9999252.12,510952,8951907.03,462254,8628155.02,451961,8908621.06
2023-07-04 00:00:00.000,13,2023,7,"27",8908621.06,466592,9999252.12,510952,8951907.03,462254,8241905.64
2023-07-11 00:00:00.000,13,2023,7,"28",8241905.64,430569,8908621.06,466592,9999252.12,510952,7626730.85
